Filename,Tobj,Obj,HIP_name,Thorium1,Thorium2,Haolgen1,Halogen2,Date,RA,DEC,SNR,Filesize,Md5
rbox.129.fits,HIP116495,HIP116495,HIP116495,Off,Off,Off,Off,2019-09-21T05:24:44.22,23:36:23.3,  2:06:08.0,93.86333,1477440,cdb9aaa754945212f6a82d91a43edb3b
rbox.134.fits,HIP112935,HIP112935,HIP112935,Off,Off,Off,Off,2019-09-21T05:46:24.47,22:52:24.1,  9:50:08.4,107.40868,1477440,f7d93239670fb85cb7f57749c56e7572
rbox.135.fits,HIP112935,HIP112935,HIP112935,Off,Off,Off,Off,2019-09-21T05:47:57.68,22:52:24.1,  9:50:08.4,106.245224,1477440,acae8507fbf43c006ae06d714e8ad062
rbox.139.fits,HIP112190,HIP112190,HIP112190,Off,Off,Off,Off,2019-09-21T06:06:50.43,22:43:21.3, -6:24:03.0,66.39132,1477440,9a9dc65be005175fc6529360a9963aef
rbox.140.fits,HIP112527,HIP112527,HIP112527,Off,Off,Off,Off,2019-09-21T06:14:07.46,22:47:31.9, 83:41:49.3,94.679085,1477440,7f0fcc2b5a8d4c409879add46236cc99
rbox.144.fits,HIP112245,HIP112245,HIP112245,Off,Off,Off,Off,2019-09-21T06:37:16.55,22:44:05.8, 64:34:14.4,98.30928,1477440,a9d058d468c7db29bf73aed17512532b
rbox.145.fits,HIP112245,HIP112245,HIP112245,Off,Off,Off,Off,2019-09-21T06:43:00.68,22:44:05.8, 64:34:14.4,98.22789,1477440,dceafe5285c874e90d752039a678aad5
rbox.149.fits,HIP112748,HIP112748,HIP112748,Off,Off,Off,Off,2019-09-21T06:47:53.15,22:50:00.2, 24:36:05.7,158.46466,1477440,d4db8a198ffb0f08749018f6d6e7169a
rbox.150.fits,HIP112748,HIP112748,HIP112748,Off,Off,Off,Off,2019-09-21T06:48:53.06,22:50:00.2, 24:36:05.7,154.16718,1477440,38a28a89ab21c54d43a221f3d5448c5e
rbox.186.fits,hip36357,hip36357,None,Off,Off,Off,Off,2019-09-21T10:50:45.83, 7:29:01.8, 31:59:37.8,139.27042,1477440,2c46f6c2373d4f75cea7d57a00187992
rboy.401.fits,HIP112918,HIP112918,HIP112918,Off,Off,Off,Off,2019-09-22T05:46:23.40,22:52:02.5, 23:24:47.7,38.955288,1477440,d1817644c1392542d2520f6bcd8d2756
rboy.418.fits,HIP113409,HIP113409,HIP113409,Off,Off,Off,Off,2019-09-22T06:52:32.85,22:58:06.3,-13:38:33.2,28.695107,1477440,868c839b50ae517aa8357f1f3ee48fc6
rboy.419.fits,HIP113409,HIP113409,HIP113409,Off,Off,Off,Off,2019-09-22T06:58:16.97,22:58:06.3,-13:38:33.2,27.695662,1477440,14a633497a667c62db92de213af8906c
rboy.432.fits,HIP109555,HIP109555,HIP109555,Off,Off,Off,Off,2019-09-22T08:00:45.11,22:11:30.1, 18:25:34.3,28.428362,1477440,7c5887dd8301962af0c9fa8e270213b9
