source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,radius_val,lum_val,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_distance
461701979229013376,49.06125879563263,0.03288169075948097,58.16597304510724,0.028776194538608885,73.7644614249966,0.04423222514755787,10.011363,2.2509546,20.997342618783,0.39169324713988873,"NOT_AVAILABLE",3723.0,0.19,,,"HIP15220",49.05755907976227,58.16738321579445,69.51,428.87,-323.65,21.2,2000.0,1.0628656298063851E-4
5105133853288251392,49.672030141173366,0.06275550899536432,-18.560064037824805,0.05334891930815603,27.88913266627855,0.08069476453496076,5.745512,0.47167158,,,"NOT_AVAILABLE",6899.0,0.217,1.5219202,4.7274075,"HIP15411",49.67145754718807,-18.55979194375393,27.05,125.78,-62.51,15.2,2000.0,3.215446389674646E-6
3269362645115584640,49.841563537180896,0.2251715750478493,3.3706030590602474,0.18036030992092206,109.34091992793995,0.3072098623924677,4.59883,0.840085,19.22997869943965,0.24172504414369744,"NOT_AVAILABLE",5748.5,0.101,0.95789254,0.9027062,"HIP15457",49.840401335416665,3.3701986497222225,109.41,269.3,93.75,19.359,2000.0,1.076385604948893E-6
567659818855055488,50.35088814351196,0.03277112818632558,79.96850441975054,0.03034232678005374,71.75752761712366,0.039990985672514294,10.235836,2.2872677,-13.520942983261648,0.29262465722339254,"NOT_AVAILABLE",3800.0203,0.3013,,,"HIP15638",50.340747522134,79.9672652323826,71.7575,410.315,287.78,-13.237,2000.0,3.823396909644043E-7
241279069280395904,50.360300308153114,0.20886206072291727,43.32964678049648,0.16369878333174528,21.88651189267154,0.2690491727892836,4.910437,0.07106733,,,"NOT_AVAILABLE",8864.333,0.146,,,"HIP15648",50.3606551305209,43.3296503903749,21.8865,-59.947,-0.839,-9.0,2000.0,3.5558261698088897E-9
443016706832479488,50.4759681547815,0.03620636411943658,52.33038242269178,0.02714212053237373,41.73724952430956,0.045979456502829995,8.703634,1.2714739,-40.011366184869885,0.18429016013158248,"NOT_AVAILABLE",4669.988,0.127,0.63026404,0.17021693,"HIP15673",50.4781516205297,52.33152165196,41.7372,-309.901,-264.6,-39.99,2000.0,7.100409880729732E-8
241393040535105280,50.890233419355674,0.033559146453997706,43.95584635479588,0.022359572721517174,37.607619241540135,0.04251280064864416,8.648738,1.2104192,7.900484924480874,0.3531077304279898,"NOT_AVAILABLE",4843.5938,0.105,0.64996916,0.20948409,"HIP15797",50.8895252256385,43.9572854540254,37.6076,118.404,-334.241,7.54,2000.0,2.0902893259785446E-8
5101578445000656128,51.97082809212773,0.655840756650377,-19.803159801052175,0.6285907886497367,,,7.8110824,1.6741762,33.62527207779661,0.6662297680215546,"NOT_AVAILABLE",4144.9497,,,,"HIP16134",51.96835847044505,-19.804483578400866,80.04,536.78,303.39,34.35,2000.0,2.1572515540321997E-5
241996500618616960,53.10908413478504,0.0824112610185179,46.05653936867734,0.06971076887885211,26.98953990660081,0.10527047735870583,5.166717,0.5602784,,,"NOT_AVAILABLE",6546.0,1.196,2.2780857,8.58497,"HIP16499",53.1094119132375,46.0568619204592,26.9895,-52.829,-74.915,-49.0,2000.0,6.373919401353906E-9
2430036837596487424,5.305588587314166,0.04239744801494811,-8.281144249090133,0.02948409609219327,1.299756736432399,0.048879578938018975,8.7494335,1.4985356,18.66433292190417,0.20142518428692358,"NOT_AVAILABLE",4445.0,0.4065,22.816832,183.10173,"HIP1692",5.3055299951125,-8.281157609805279,1.2998,13.467,3.103,18.216,2000.0,1.719616958192784E-9
3247680138377334912,54.7545843928197,0.03638164692098202,-5.6271121676779075,0.028694050975069905,28.768814276299096,0.050617152503631475,5.6908264,1.0945263,40.41479348530274,0.12744084346640194,"NOT_AVAILABLE",5047.0,,2.9841487,5.205577,"HIP17027",54.7546520211457,-5.626212857035,28.7688,-15.632,-208.872,40.3,2000.0,1.719207854768632E-8
2853900872207150720,0.546584867612006,0.7703221493859859,27.077778822999367,0.7096955657610357,79.06960918578473,0.5621073721112416,5.5020313,0.9229698,-35.56552653681606,0.34586357407256535,"NOT_AVAILABLE",5570.0,0.106,0.93720734,0.7617051,"HIP171",0.5430880802395832,27.081799107984445,79.0696,723.11,-933.754,-36.22,2000.0,2.7207200349474203E-7
3250489115708824064,55.094917637118584,0.06359428402420338,-3.2178979518637942,0.04037016647479573,38.19846488366821,0.06596939561287787,6.52101,0.75645256,120.53649640777094,0.20597657286405482,"NOT_AVAILABLE",5912.0,0.06,1.0648658,1.248022,"HIP17147",55.091939259796,-3.2169791026914,38.1985,690.662,-213.409,120.352,2000.0,2.2746573424259587E-7
